Function                                                                                                                                                                                                                                                   CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Overhead Time  Module          Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           Source File                   Start Address
std::istream::read                                                                                                                                                                                                                                           0.334s                   0.334s                  0s                      0s  libstdc++.so.6  std::istream::read(char*, long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [Unknown]                     0x1216b0     
__memset_avx2_unaligned_erms                                                                                                                                                                                                                                 0.272s                   0.272s                  0s                      0s  libc.so.6       __memset_avx2_unaligned_erms                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              memset-vec-unaligned-erms.S   0x1a0f80     
sqr_dist<(unsigned int)1024>                                                                                                                                                                                                                                 0.228s                   0.228s                  0s                      0s  search_c4-10m   sqr_dist<(unsigned int)1024>(float*, float*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              space.h                       0xbda0       
_ZN5Eigen8internal5pmaddIDv4_dEET_RKS3_S5_S5_                                                                                                                                                                                                                0.224s                   0.224s                  0s                      0s  search_c4-10m   _ZN5Eigen8internal5pmaddIDv4_dEET_RKS3_S5_S5_                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             PacketMath.h                  0x72c0       
_mm256_add_epi16                                                                                                                                                                                                                                             0.208s                   0.208s                  0s                      0s  search_c4-10m   _mm256_add_epi16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          avx2intrin.h                  0xd9b7       
pack_codes<(unsigned int)1024>                                                                                                                                                                                                                               0.204s                   0.204s                  0s                      0s  search_c4-10m   pack_codes<(unsigned int)1024>(unsigned long const*, unsigned int, unsigned char*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        fast_scan.h                   0xd790       
accumulate_one_block<(unsigned int)1024>                                                                                                                                                                                                                     0.176s                   0.176s                  0s                      0s  search_c4-10m   accumulate_one_block<(unsigned int)1024>(unsigned char*, unsigned char*, unsigned short*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 fast_scan.h                   0xd960       
IVFRN<(unsigned int)1024, (unsigned int)1024>::load                                                                                                                                                                                                          0.172s                   0.172s                  0s                      0s  search_c4-10m   IVFRN<(unsigned int)1024, (unsigned int)1024>::load(char*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ivf_rabitq.h                  0xf490       
_ZNK5Eigen8internal11gebp_traitsIddLb0ELb0ELi1ELi0EE7loadRhsIDv4_dEEvPKdRT_                                                                                                                                                                                  0.168s                   0.168s                  0s                      0s  search_c4-10m   _ZNK5Eigen8internal11gebp_traitsIddLb0ELb0ELi1ELi0EE7loadRhsIDv4_dEEvPKdRT_                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               GeneralBlockPanelKernel.h     0x6570       
_mm256_add_epi16                                                                                                                                                                                                                                             0.160s                   0.160s                  0s                      0s  search_c4-10m   _mm256_add_epi16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          avx2intrin.h                  0xd9a6       
_mm256_add_epi16                                                                                                                                                                                                                                             0.152s                   0.152s                  0s                      0s  search_c4-10m   _mm256_add_epi16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          avx2intrin.h                  0xd9aa       
_mm256_srli_epi16                                                                                                                                                                                                                                            0.144s                   0.144s                  0s                      0s  search_c4-10m   _mm256_srli_epi16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         avx2intrin.h                  0xd9ae       
__memcpy_avx_unaligned_erms                                                                                                                                                                                                                                  0.132s                   0.132s                  0s                      0s  libc.so.6       __memcpy_avx_unaligned_erms                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               memmove-vec-unaligned-erms.S  0x1a07c0     
Eigen::internal::gebp_kernel<double, double, long, Eigen::internal::blas_data_mapper<double, long, (int)0, (int)0, (int)1>, (int)12, (int)4, (bool)0, (bool)0>::operator()                                                                                   0.124s                   0.124s                  0s                      0s  search_c4-10m   Eigen::internal::gebp_kernel<double, double, long, Eigen::internal::blas_data_mapper<double, long, (int)0, (int)0, (int)1>, (int)12, (int)4, (bool)0, (bool)0>::operator()(Eigen::internal::blas_data_mapper<double, long, (int)0, (int)0, (int)1> const&, double const*, double const*, long, long, long, double, long, long, long, long)                                                                                                                                                                                                                                                GeneralBlockPanelKernel.h     0x18470      
_mm256_and_si256                                                                                                                                                                                                                                             0.112s                   0.112s                  0s                      0s  search_c4-10m   _mm256_and_si256                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          avx2intrin.h                  0xd998       
_mm256_mul_ps                                                                                                                                                                                                                                                0.088s                   0.088s                  0s                      0s  search_c4-10m   _mm256_mul_ps                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             avxintrin.h                   0xbdcf       
_ZNK5Eigen8internal11gebp_traitsIddLb0ELb0ELi1ELi0EE7loadLhsIDv4_dEEvPKdRT_                                                                                                                                                                                  0.084s                   0.084s                  0s                      0s  search_c4-10m   _ZNK5Eigen8internal11gebp_traitsIddLb0ELb0ELi1ELi0EE7loadLhsIDv4_dEEvPKdRT_                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               GeneralBlockPanelKernel.h     0x7410       
Space<(unsigned int)1024, (unsigned int)1024>::range                                                                                                                                                                                                         0.076s                   0.076s                  0s                      0s  search_c4-10m   Space<(unsigned int)1024, (unsigned int)1024>::range(float*, float*, float&, float&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      space.h                       0xbe30       
_mm256_add_ps                                                                                                                                                                                                                                                0.048s                   0.048s                  0s                      0s  search_c4-10m   _mm256_add_ps                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             avxintrin.h                   0xbdd8       
_mm256_set1_pd                                                                                                                                                                                                                                               0.048s                   0.048s                  0s                      0s  search_c4-10m   _mm256_set1_pd                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            avxintrin.h                   0x4bf0       
_ZNK5Eigen8internal11gebp_traitsIddLb0ELb0ELi1ELi0EE4maddIDv4_dS4_S4_NS0_8FixedIntILi1EEEEEvRKT_RKT0_RT1_RSA_RKT2_                                                                                                                                           0.048s                   0.048s                  0s                      0s  search_c4-10m   _ZNK5Eigen8internal11gebp_traitsIddLb0ELb0ELi1ELi0EE4maddIDv4_dS4_S4_NS0_8FixedIntILi1EEEEEvRKT_RKT0_RT1_RSA_RKT2_                                                                                                                                                                                                                                                                                                                                                                                                                                                                        GeneralBlockPanelKernel.h     0x73a0       
_ZNK5Eigen8internal11gebp_traitsIddLb0ELb0ELi1ELi0EE4maddIDv4_dS4_S4_NS0_8FixedIntILi0EEEEEvRKT_RKT0_RT1_RSA_RKT2_                                                                                                                                           0.044s                   0.044s                  0s                      0s  search_c4-10m   _ZNK5Eigen8internal11gebp_traitsIddLb0ELb0ELi1ELi0EE4maddIDv4_dS4_S4_NS0_8FixedIntILi0EEEEEvRKT_RKT0_RT1_RSA_RKT2_                                                                                                                                                                                                                                                                                                                                                                                                                                                                        GeneralBlockPanelKernel.h     0x72e0       
__gnu_cxx::__normal_iterator<std::pair<float, unsigned int>*, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>>::operator+                                                                                        0.032s                   0.032s                  0s                      0s  search_c4-10m   __gnu_cxx::__normal_iterator<std::pair<float, unsigned int>*, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>>::operator+(long) const                                                                                                                                                                                                                                                                                                                                                                                                         stl_iterator.h                0x4fc0       
std::sqrt                                                                                                                                                                                                                                                    0.032s                   0.032s                  0s                      0s  search_c4-10m   std::sqrt(long double)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    cmath                         0x6890       
_mm256_shuffle_epi8                                                                                                                                                                                                                                          0.028s                   0.028s                  0s                      0s  search_c4-10m   _mm256_shuffle_epi8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       avx2intrin.h                  0xd9a1       
std::__partial_sort<std::pair<float, unsigned int>*, __gnu_cxx::__ops::_Iter_less_iter>                                                                                                                                                                      0.028s                   0.028s                  0s                      0s  search_c4-10m   std::__partial_sort<std::pair<float, unsigned int>*, __gnu_cxx::__ops::_Iter_less_iter>(std::pair<float, unsigned int>*, std::pair<float, unsigned int>*, std::pair<float, unsigned int>*, __gnu_cxx::__ops::_Iter_less_iter)                                                                                                                                                                                                                                                                                                                                                             stl_algo.h                    0xfc90       
std::priority_queue<std::pair<float, unsigned int>, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>, std::less<std::pair<float, unsigned int>>>::pop                                                             0.028s                   0.028s                  0s                      0s  search_c4-10m   std::priority_queue<std::pair<float, unsigned int>, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>, std::less<std::pair<float, unsigned int>>>::pop(void)                                                                                                                                                                                                                                                                                                                                                                                    stl_queue.h                   0xe5c0       
_mm256_fmadd_pd                                                                                                                                                                                                                                              0.024s                   0.024s                  0s                      0s  search_c4-10m   _mm256_fmadd_pd                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           fmaintrin.h                   0x72c4       
__gnu_cxx::__normal_iterator<std::pair<float, unsigned int>*, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>>::__normal_iterator                                                                                0.024s                   0.024s                  0s                      0s  search_c4-10m   __gnu_cxx::__normal_iterator<std::pair<float, unsigned int>*, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>>::__normal_iterator(std::pair<float, unsigned int>* const&)                                                                                                                                                                                                                                                                                                                                                                     stl_iterator.h                0xb920       
Space<(unsigned int)1024, (unsigned int)1024>::popcount                                                                                                                                                                                                      0.024s                   0.024s                  0s                      0s  search_c4-10m   Space<(unsigned int)1024, (unsigned int)1024>::popcount(unsigned long*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   space.h                       0xb4e0       
_mm256_add_epi16                                                                                                                                                                                                                                             0.024s                   0.024s                  0s                      0s  search_c4-10m   _mm256_add_epi16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          avx2intrin.h                  0xd9c4       
_mm256_and_si256                                                                                                                                                                                                                                             0.020s                   0.020s                  0s                      0s  search_c4-10m   _mm256_and_si256                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          avx2intrin.h                  0xd980       
__GI___libc_free                                                                                                                                                                                                                                             0.020s                   0.020s                  0s                      0s  libc.so.6       __GI___libc_free                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          malloc.c                      0xa53e0      
pack_LUT<(unsigned int)1024>                                                                                                                                                                                                                                 0.020s                   0.020s                  0s                      0s  search_c4-10m   pack_LUT<(unsigned int)1024>(unsigned char*, unsigned char*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              fast_scan.h                   0xc070       
std::__sort_heap<std::pair<float, unsigned int>*, __gnu_cxx::__ops::_Iter_less_iter>                                                                                                                                                                         0.020s                   0.020s                  0s                      0s  search_c4-10m   std::__sort_heap<std::pair<float, unsigned int>*, __gnu_cxx::__ops::_Iter_less_iter>(std::pair<float, unsigned int>*, std::pair<float, unsigned int>*, __gnu_cxx::__ops::_Iter_less_iter&)                                                                                                                                                                                                                                                                                                                                                                                                stl_heap.h                    0xfb20       
_ZNK5Eigen8internal11gebp_traitsIddLb0ELb0ELi1ELi0EE4maddIDv4_dS4_S4_NS0_8FixedIntILi2EEEEEvRKT_RKT0_RT1_RSA_RKT2_                                                                                                                                           0.020s                   0.020s                  0s                      0s  search_c4-10m   _ZNK5Eigen8internal11gebp_traitsIddLb0ELb0ELi1ELi0EE4maddIDv4_dS4_S4_NS0_8FixedIntILi2EEEEEvRKT_RKT0_RT1_RSA_RKT2_                                                                                                                                                                                                                                                                                                                                                                                                                                                                        GeneralBlockPanelKernel.h     0x7360       
_mm256_srli_epi16                                                                                                                                                                                                                                            0.020s                   0.020s                  0s                      0s  search_c4-10m   _mm256_srli_epi16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         avx2intrin.h                  0xd980       
_mm256_sub_ps                                                                                                                                                                                                                                                0.016s                   0.016s                  0s                      0s  search_c4-10m   _mm256_sub_ps                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             avxintrin.h                   0xbdcb       
_ZNK5Eigen8internal11gebp_traitsIddLb0ELb0ELi1ELi0EE4maddIDv4_dS4_S4_NS0_8FixedIntILi3EEEEEvRKT_RKT0_RT1_RSA_RKT2_                                                                                                                                           0.016s                   0.016s                  0s                      0s  search_c4-10m   _ZNK5Eigen8internal11gebp_traitsIddLb0ELb0ELi1ELi0EE4maddIDv4_dS4_S4_NS0_8FixedIntILi3EEEEEvRKT_RKT0_RT1_RSA_RKT2_                                                                                                                                                                                                                                                                                                                                                                                                                                                                        GeneralBlockPanelKernel.h     0x7320       
__gnu_cxx::__normal_iterator<std::pair<float, unsigned int>*, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>>::operator-                                                                                        0.012s                   0.012s                  0s                      0s  search_c4-10m   __gnu_cxx::__normal_iterator<std::pair<float, unsigned int>*, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>>::operator-(long) const                                                                                                                                                                                                                                                                                                                                                                                                         stl_iterator.h                0x5010       
Eigen::internal::prefetch<double>                                                                                                                                                                                                                            0.012s                   0.012s                  0s                      0s  search_c4-10m   Eigen::internal::prefetch<double>(double const*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          PacketMath.h                  0x8f10       
__gnu_cxx::__normal_iterator<std::pair<float, unsigned int>*, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>>::operator*                                                                                        0.012s                   0.012s                  0s                      0s  search_c4-10m   __gnu_cxx::__normal_iterator<std::pair<float, unsigned int>*, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>>::operator*(void) const                                                                                                                                                                                                                                                                                                                                                                                                         stl_iterator.h                0x4950       
_mm256_store_si256                                                                                                                                                                                                                                           0.012s                   0.012s                  0s                      0s  search_c4-10m   _mm256_store_si256                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        avxintrin.h                   0xda0b       
_mm256_srli_epi16                                                                                                                                                                                                                                            0.012s                   0.012s                  0s                      0s  search_c4-10m   _mm256_srli_epi16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         avx2intrin.h                  0xd9b7       
Eigen::PlainObjectBase<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>>::rows                                                                                                                                                              0.012s                   0.012s                  0s                      0s  search_c4-10m   Eigen::PlainObjectBase<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>>::rows(void) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                               PlainObjectBase.h             0xbb20       
__gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>>    0.012s                   0.012s                  0s                      0s  search_c4-10m   __gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>) const                                                                                                               predefined_ops.h              0x47e0       
Eigen::DenseCoeffsBase<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, (int)1>::coeffRef                                                                                                                                                  0.012s                   0.012s                  0s                      0s  search_c4-10m   Eigen::DenseCoeffsBase<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, (int)1>::coeffRef(long, long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                   DenseCoeffsBase.h             0x104b0      
_ZNK5Eigen8internal7conj_ifILb0EE5pconjIDv4_dEERKT_S7_                                                                                                                                                                                                       0.012s                   0.012s                  0s                      0s  search_c4-10m   _ZNK5Eigen8internal7conj_ifILb0EE5pconjIDv4_dEERKT_S7_                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ConjHelper.h                  0x4530       
Eigen::EigenBase<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>>::cols                                                                                                                                                                    0.012s                   0.012s                  0s                      0s  search_c4-10m   Eigen::EigenBase<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>>::cols(void) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     EigenBase.h                   0xbad0       
std::push_heap<__gnu_cxx::__normal_iterator<std::pair<float, unsigned int>*, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>>, std::less<std::pair<float, unsigned int>>>                                        0.008s                   0.008s                  0s                      0s  search_c4-10m   std::push_heap<__gnu_cxx::__normal_iterator<std::pair<float, unsigned int>*, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>>, std::less<std::pair<float, unsigned int>>>(__gnu_cxx::__normal_iterator<std::pair<float, unsigned int>*, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>>, __gnu_cxx::__normal_iterator<std::pair<float, unsigned int>*, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>>, std::less<std::pair<float, unsigned int>>)  stl_heap.h                    0xe600       
IVFRN<(unsigned int)1024, (unsigned int)1024>::search                                                                                                                                                                                                        0.008s                   0.008s                  0s                      0s  search_c4-10m   IVFRN<(unsigned int)1024, (unsigned int)1024>::search(float*, float*, unsigned int, unsigned int, float) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ivf_rabitq.h                  0x11940      
Eigen::internal::evaluator<Eigen::PlainObjectBase<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>>>::evaluator                                                                                                                             0.008s                   0.008s                  0s                      0s  search_c4-10m   Eigen::internal::evaluator<Eigen::PlainObjectBase<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>>>::evaluator(Eigen::PlainObjectBase<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>> const&)                                                                                                                                                                                                                                                                                                                                                        CoreEvaluators.h              0x10450      
Eigen::DenseCoeffsBase<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, (int)1>::operator()                                                                                                                                                0.008s                   0.008s                  0s                      0s  search_c4-10m   Eigen::DenseCoeffsBase<Eigen::Matrix<double, (int)-1, (int)-1, (int)0, (int)-1, (int)-1>, (int)1>::operator()(long, long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                 DenseCoeffsBase.h             0x10520      
_mm256_store_si256                                                                                                                                                                                                                                           0.008s                   0.008s                  0s                      0s  search_c4-10m   _mm256_store_si256                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        avxintrin.h                   0xd9ee       
_ZN5Eigen8internal5ploadIDv4_dEET_PKNS0_15unpacket_traitsIS3_E4typeE                                                                                                                                                                                         0.008s                   0.008s                  0s                      0s  search_c4-10m   _ZN5Eigen8internal5ploadIDv4_dEET_PKNS0_15unpacket_traitsIS3_E4typeE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      PacketMath.h                  0x7400       
_mm256_store_pd                                                                                                                                                                                                                                              0.008s                   0.008s                  0s                      0s  search_c4-10m   _mm256_store_pd                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           avxintrin.h                   0x748c       
